CustomerID,Churn_Probability,Churned
1,0.5765639634226069,0
2,0.685472585045341,1
3,0.12039996668128794,0
4,0.12278990190422334,0
5,0.5653026914604504,0
6,0.2700957522836456,0
7,0.3923991022411144,0
8,0.4007484476475779,0
9,0.17855285928491638,0
10,0.001314633430626433,0
11,0.8531518099690073,1
12,0.7150019688976883,1
13,0.6905385581155655,1
14,0.5465051381133197,0
15,0.7009696545781204,1
16,0.9356883775476258,1
17,0.6656737362292912,1
18,0.26509140192744995,0
19,0.570560051740898,0
20,0.44232440336621015,0
21,0.5564191311121495,0
22,0.5176104774128251,0
23,0.8587752852284649,1
24,0.6518001033810671,1
25,0.18875847793410394,0
26,0.06301677887537083,0
27,0.42436378868134694,0
28,0.015610622257729245,0
29,0.31829738583333567,0
30,0.36802146943922565,0
31,0.3755888740099239,0
32,0.9793500243238927,1
33,0.30390087697246826,0
34,0.2652274953786212,0
35,0.12938093106754123,0
36,0.5110088356826128,0
37,0.15367430621362066,0
38,0.6162947127307845,0
39,0.15515977893834954,0
40,0.5766733177592012,0
41,0.8262692391746262,1
42,0.042524633519092636,0
43,0.4197469749182059,0
44,0.4610489672188355,0
45,0.7910721434781124,1
46,0.4679156319455442,0
47,0.5675357864563202,0
48,0.7912042535880711,1
49,0.5597584929292907,0
50,0.3582994135195824,0
51,0.08584227762058227,0
52,0.7299156295125776,1
53,0.8711381501621551,1
54,0.970064537020164,1
55,0.9265998807715683,1
56,0.7974179088332487,1
57,0.6434719322457282,0
58,0.7814601458306384,1
59,0.4320837128520679,0
60,0.594776214790835,0
61,0.3486998091391852,0
62,0.32670921498038274,0
63,0.7566917732760338,1
64,0.4539327823035617,0
65,0.21216126293102922,0
66,0.20193816194186587,0
67,0.8591723615699336,1
68,0.6777604943626712,1
69,0.5460460733581158,0
70,0.40093873599635943,0
71,0.4308173907871258,0
72,0.057435194194943806,0
73,0.45491014486784276,0
74,0.7954549106220818,1
75,0.38798648009532233,0
76,0.3835812525432579,0
77,0.0157165830192878,0
78,0.4578352625580686,0
79,0.02533765294796686,0
80,0.5703494280087611,0
81,0.5067833815823141,0
82,0.8400084989239989,1
83,0.5817806109257212,0
84,0.3234273553222152,0
85,0.5162310094169141,0
86,0.6997063557499188,1
